cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
14644,10787,906241,1099980,The Malvern National Bank,Malvern,AR,72104,6/30/2015,8/16/2015,N,1 Money Place,"MNB BANCSHARES, INC.",13,0,0,4,1,Hot Spring,,,1/1/1934,8/7/1934,3/31/2006,Stock,0,0,OCC,DIF,Dallas,DALLAS,Little Rock,St. louis,Southern,Western,0,1,www.mnbbank.com,7603,1445,6158,15,1297,0,544,0,753,6810,4034,1263,1513,630,209,0,839,0,839,0,839,-349,317,0,630
9860,0,513920,2375449,The Marblehead Bank,Marblehead,OH,43440,6/30/2015,8/16/2015,SM,709 West Main Street,MARBLEHEAD BANCORP,3,0,0,5,0,Ottawa,,,3/6/1907,1/1/1934,3/31/2006,Stock,0,0,FED,DIF,Chicago,CHICAGO,Columbus,Cleveland,Central,Central,0,1,www.marbleheadbank.com,624,44,580,3,59,0,27,0,32,540,310,57,173,96,34,20,110,0,110,0,110,0,0,0,81.1
8576,0,441359,1099814,The Maries County Bank,Vienna,MO,65582,6/30/2015,8/16/2015,NM,218 Fourth Street,"MARIES COUNTY BANCORP., INC.",11,0,0,2,0,Maries,,,8/17/1900,1/1/1934,4/1/2015,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Columbia Mo,St. louis,Western,West,0,1,http://www.mariescountybank.com,9340,1372,7968,268,1159,0,477,0,682,6523,4024,951,1548,2336,76,376,2036,0,2036,0,2036,76,915,0,1972.16
4728,0,167752,2857552,The Marion National Bank,Marion,KS,66861,6/30/2015,8/16/2015,N,302 East Main Street,"MARION BANCSHARES, INC.",1,0,0,2,0,Marion,,,1/1/1905,1/1/1934,3/31/2006,Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,1,http://www.bankwithmnb.com,337,7,330,-20,20,0,11,0,9,298,151,36,111,72,0,4,68,0,68,0,68,0,0,0,68
7910,9438,978622,4655266,The Mars National Bank,Mars,PA,16046,6/30/2015,8/16/2015,N,145 Grand Avenue,"MARS NATIONAL BANCORP, INC.",5,0,0,4,0,Butler,38300,"Pittsburgh, PA",10/16/1900,1/1/1934,3/31/2006,Stock,0,0,OCC,DIF,New York,NEW YORK,Wexford,Cleveland,Northeastern,Northeast,0,1,https://www.marsbank.com,5045,223,4822,67,1225,0,171,0,1054,5555,3163,698,1694,425,104,17,512,0,512,0,512,-138,505,0,411.12
35394,15930,2881445,0,The MassMutual Trust Company,Enfield,CT,6082,6/30/2015,8/16/2015,SA,100 Bright Meadow Blvd M327,,1,0,0,7,0,Hartford,25540,"Hartford-West Hartford-East Hartford, CT",1/12/2000,1/12/2000,2/24/2012,Stock,0,1,OCC,DIF,New York,NEW YORK,Hartford,Boston,Northeastern,Northeast,0,0,www.massmutualtrust.com,433,86,347,0,9237,9230,0,0,7,8360,2688,83,5589,1224,5,524,705,0,705,0,705,0,0,0,701.8
314,0,741956,0,The Mer Rouge State Bank,Mer Rouge,LA,71261,6/30/2015,8/16/2015,NM,102 Davenport Avenue,,1,0,0,2,0,Morehouse,,,1/1/1903,1/1/1934,4/9/2014,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Shreveport,Dallas,Southern,Western,0,1,,640,50,590,0,66,0,42,0,24,584,326,83,175,72,4,11,65,0,65,0,65,-1,0,0,61.56
12231,15976,867258,0,"The Mercantile Bank of Louisiana, Missouri",Louisiana,MO,63353,6/30/2015,8/16/2015,NM,Third And Georgia Streets,,1,0,0,8,1,Pike,,,1/29/1880,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,www.mercbk.com,1808,235,1573,29,221,0,105,0,116,1102,730,86,286,663,16,31,648,0,648,0,648,-172,400,0,632.8
183,0,784430,0,The Merchants & Citizens Bank,Mcrae,GA,31055,6/30/2015,8/16/2015,NM,6 College Street,,1,0,0,7,0,Telfair,,,2/23/1929,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Albany Ga,Atlanta,Southern,Southeast,0,1,http://www.merchantsandcitizensbank.com,1737,202,1535,10,198,0,83,0,115,1226,618,63,545,497,67,68,496,0,496,0,496,-50,0,0,437.04
107,0,691042,1099252,The Merchants & Planters Bank,Clarendon,AR,72029,6/30/2015,8/16/2015,NM,297 Madison Street,CLARENDON HOLDING CO.,1,0,0,2,0,Monroe,,,1/1/1890,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Memphis,St. louis,Southern,Western,0,1,,644,61,583,0,81,0,62,0,19,577,338,58,181,87,0,0,87,0,87,0,87,9,0,0,87
8259,11134,963954,1917918,The Merchants and Farmers Bank of Salisbury,Salisbury,MO,65281,6/30/2015,8/16/2015,NM,507 N Weber Ave,"WIDMER BANCSHARES, INC.",4,0,0,2,1,Chariton,,,9/7/1903,1/1/1934,6/3/2014,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Columbia Mo,Kansas City,Western,West,0,1,https://www.merchantsandfarmers.net,1738,221,1517,0,119,0,40,0,79,1283,808,189,286,353,5,-7,365,0,365,0,365,2,187,0,360
6605,10841,701222,2485487,The Merchants National Bank,Hillsboro,OH,45133,6/30/2015,8/16/2015,N,100 North High Street,"MERCHANTS BANCORP, INC.",13,0,0,2,0,Highland,,,12/25/1879,1/1/1934,3/21/2014,Stock,0,0,OCC,DIF,Chicago,CHICAGO,Cincinnati,Cleveland,Central,Central,0,1,www.merchantsnat.com,13433,1698,11735,572,1228,0,383,0,845,7487,4263,818,2406,4904,0,1505,3399,3,3402,0,3402,334,1230,0,3399
3502,0,249564,2320403,The Merchants National Bank of Sacramento,Sacramento,CA,95814,6/30/2015,8/16/2015,N,1015 Seventh Street,MERCHANTS HOLDING COMPANY,4,0,0,5,0,Sacramento,40900,"Sacramento-Roseville-Arden-Arcade, CA",1/1/1921,1/1/1934,3/31/2006,Stock,0,0,OCC,DIF,San Francisco,SAN FRANCISCO,Sacramento,San Francisco,Western,Western,0,1,http://www.merchantsnational.com,2614,154,2460,0,68,0,7,0,61,1625,900,77,648,903,241,368,776,0,776,0,776,0,209,0,612.12
16167,12956,533227,1133204,The Metamora State Bank,Metamora,OH,43540,6/30/2015,8/16/2015,SM,120 East Main Street,"METAMORA BANCORP, INC.",2,0,0,2,0,Fulton,45780,"Toledo, OH",5/25/1944,7/1/1944,11/7/2012,Stock,0,0,FED,DIF,Chicago,CHICAGO,Columbus,Cleveland,Central,Central,0,1,www.metamorabank.com,1289,125,1164,0,486,0,91,0,395,1065,502,164,399,585,0,83,502,0,502,0,502,-9,58,0,502
6881,13091,679826,2176413,The Middleburg Bank,Middleburg,VA,20117,6/30/2015,8/16/2015,SM,111 West Washington Street,MIDDLEBURG FINANCIAL CORPORATION,12,0,0,4,0,Loudoun,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",7/1/1924,1/1/1934,3/31/2006,Stock,0,1,FED,DIF,Atlanta,ATLANTA,Richmond,Richmond,Northeastern,Southeast,0,1,http://www.middleburgbank.com,21046,1968,19078,25,2766,0,580,0,2186,15462,8244,2315,4903,6357,138,1669,4826,0,4826,0,4826,-83,1773,0,4723.88
13716,14288,177920,1398740,The Middlefield Banking Company,Middlefield,OH,44062,6/30/2015,8/16/2015,NM,15985 East High Street,MIDDLEFIELD BANC CORP,10,0,0,4,0,Geauga,17460,"Cleveland-Elyria, OH",3/15/1902,1/20/1934,1/20/2014,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Columbus,Cleveland,Central,Central,0,1,http://www.middlefieldbank.com,14095,1765,12330,105,1792,0,911,0,881,9532,4876,1107,3549,4485,46,950,3581,0,3581,0,3581,605,1907,16,3544.66
4739,12719,576653,1928437,The Midland National Bank of Newton,Newton,KS,67114,6/30/2015,8/16/2015,N,527 N Main Street,MIDLAND FINANCIAL CORPORATION,6,0,0,8,1,Harvey,48620,"Wichita, KS",1/1/1893,1/1/1934,3/31/2006,Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Wichita,Kansas City,Western,Western,0,1,http://www.midlandnb.com,2178,104,2074,0,577,0,189,0,388,2454,1450,374,630,197,53,19,231,0,231,0,231,32,128,0,182.24
16101,7458,258306,0,The Milford Bank,Milford,CT,6460,6/30/2015,8/16/2015,SB,33 Broad Street,,9,0,0,4,0,New Haven,35300,"New Haven-Milford, CT",1/1/1872,11/17/1943,7/19/2015,Non-Stock,0,0,FDIC,DIF,New York,NEW YORK,Hartford,Boston,Northeastern,Northeast,0,1,www.milfordbank.com,6847,448,6399,243,963,0,332,0,631,7056,4011,1400,1645,63,0,-25,88,0,88,0,88,144,0,0,88
2615,13190,879000,2651581,The Milford National Bank and Trust Company,Milford,MA,1757,6/30/2015,8/16/2015,N,300 East Main Street,MNB BANCORP,4,0,0,4,0,Worcester,49340,"Worcester, MA-CT",8/30/1849,1/1/1934,3/31/2006,Stock,0,1,OCC,DIF,New York,NEW YORK,Springfield Ma,Boston,Northeastern,Northeast,0,1,http://www.milfordnational.com,4991,295,4696,-351,245,362,291,0,-408,4597,2466,694,1437,695,0,197,498,0,498,0,498,9,0,0,498
11085,0,137821,2651572,The Milton Banking Company,Wellston,OH,45692,6/30/2015,8/16/2015,NM,123 South Ohio Avenue,"MILTON BANCORP, INC.",5,0,0,4,0,Jackson,,,1/1/1922,1/1/1934,1/5/2012,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Cincinnati,Cleveland,Central,Central,0,1,,3378,320,3058,90,420,0,189,0,231,2538,1308,389,841,850,0,155,695,0,695,0,695,93,148,0,695
5141,13578,43856,0,The Miners National Bank of Eveleth,Eveleth,MN,55734,6/30/2015,8/16/2015,N,401 Grant Avenue,,1,0,0,7,0,Saint Louis,20260,"Duluth, MN-WI",10/10/1903,1/1/1934,3/31/2006,Stock,0,0,OCC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,http://www.mnbeveleth.com,826,81,745,0,66,0,32,0,34,739,434,53,252,72,-1,16,55,0,55,0,55,0,20,0,55.77
10928,9864,255350,2962344,The Miners State Bank,Iron River,MI,49935,6/30/2015,8/16/2015,NM,312 West Genesee Street,"MSB BANKSHARES, INC.",6,0,0,4,0,Iron,,,1/1/1932,1/1/1934,8/7/2009,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Appleton,Minneapolis,Central,Central,0,1,http://www.msbir.com,2362,213,2149,60,270,0,38,0,232,1856,972,410,474,503,0,99,404,0,404,0,404,7,280,0,404
58764,0,3821626,0,The MINT National Bank,Kingwood,TX,77339,6/30/2015,8/16/2015,N,1213 Kingwood Drive,,1,0,0,4,0,Harris,26420,"Houston-The Woodlands-Sugar Land, TX",1/5/2009,1/5/2009,1/16/2009,Stock,0,0,OCC,DIF,Dallas,DALLAS,Houston,Dallas,Southern,West,0,1,http://www.themintbank.com,1836,334,1502,108,642,0,13,0,629,1695,1049,173,473,341,0,116,225,0,225,0,225,0,0,1822,225
23173,0,170051,1050712,The Mission Bank,Mission,KS,66205,6/30/2015,8/16/2015,NM,5201 Johnson Drive,"VALLEY VIEW BANCSHARES, INC.",7,0,0,4,0,Johnson,28140,"Kansas City, MO-KS",8/11/1980,8/11/1980,2/1/2008,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,Western,0,1,https://www.themissionbank.com,10311,1761,8550,0,242,0,230,0,12,4895,2520,728,1647,3897,250,1096,3051,0,3051,0,3051,-46,1197,0,2866
14036,0,309150,1138393,The Missouri Bank,Warrenton,MO,63383,6/30/2015,8/16/2015,SM,104 North Highway 47,"WARREN COUNTY BANCSHARES, INC.",5,0,0,4,1,Warren,41180,"St. Louis, MO-IL",1/1/1934,3/10/1934,2/19/2011,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,http://www.themissouribank.com,4010,321,3689,30,359,0,187,0,172,2327,1324,342,661,1691,102,43,1750,0,1750,0,1750,61,1856,0,1650.04
13787,13533,491251,1138393,The Missouri Bank II,Sedalia,MO,65301,6/30/2015,8/16/2015,SM,1601 South Limit,"WARREN COUNTY BANCSHARES, INC.",3,0,0,4,1,Pettis,,,1/1/1891,1/30/1934,2/1/2014,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,Columbia Mo,Kansas City,Western,West,0,1,http://www.mymissouribank.com,1676,105,1571,30,187,0,83,0,104,1080,542,196,342,648,2,-14,664,0,664,0,664,-85,600,0,662
16921,0,1009813,2575735,The Monitor Bank,Big Prairie,OH,44611,6/30/2015,8/16/2015,NM,13210 Sr 226,"MONITOR BANCORP, INC.",1,0,0,2,0,Holmes,,,1/1/1911,7/1/1950,3/31/2006,Stock,0,0,FDIC,DIF,Chicago,CHICAGO,Columbus,Cleveland,Central,Central,0,1,www.monitorbank.com,648,60,588,15,32,0,21,0,11,463,219,35,209,142,0,47,95,0,95,0,95,12,0,0,95
292,13745,266945,1097922,The Monticello Banking Company,Monticello,KY,42633,6/30/2015,8/16/2015,SM,50 North Main,"MONTICELLO BANKSHARES, INC.",13,0,0,4,0,Wayne,,,1/1/1895,1/1/1934,11/2/2010,Stock,0,1,FED,DIF,Chicago,CHICAGO,Lexington,St. louis,Central,Southeast,0,1,http://www.mbcbank.com,11082,1449,9633,875,2672,43,1345,0,1284,8430,4971,1067,2392,3000,580,770,2810,0,2810,0,2810,834,1800,0,2357.6
3210,0,253356,1107522,The Moody National Bank,Galveston,TX,77550,6/30/2015,8/16/2015,N,2302 Post Office,"MOODY BANCSHARES, INC.",19,0,0,4,0,Galveston,26420,"Houston-The Woodlands-Sugar Land, TX",1/1/1907,1/1/1934,6/15/2015,Stock,0,1,OCC,DIF,Dallas,DALLAS,Houston,Dallas,Southern,West,0,1,http://www.moodybank.com,17626,858,16768,900,5686,3593,1261,0,832,15660,7312,3472,4876,5894,240,1595,4539,0,4539,0,4539,570,0,0,4361.4
