cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
862,0,359838,0,Bank of York,York,AL,36925,6/30/2015,8/16/2015,NM,301 Broad Street,,2,0,0,7,1,Sumter,,,1/1/1911,1/1/1934,4/27/2010,Stock,0,0,FDIC,DIF,Atlanta,ATLANTA,Montgomery,Atlanta,Southern,Southeast,0,1,http://www.bankyork.com,22,103762,7316,3867,53468,975,37274,319,0,891,0,0,3838,103762,93117,73245,58141,73245,90.78974303,6761,0,12927,0,184,10645,10645,0,250,600,9795,0,114,0,490,95584,39104,105590.33,104572,28951,103830,2212,2212,0,0,21318,1307,12927,0,5139,9908,319,5139,0
306,13006,860334,1086056,Bank of Zachary,Zachary,LA,70791,6/30/2015,8/16/2015,NM,4743 Main Street,"ZACHARY BANCSHARES, INC.",3,0,0,8,0,East Baton Rouge,12940,"Baton Rouge, LA",1/1/1904,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Dallas,DALLAS,Baton Rouge,Atlanta,Southern,Western,0,1,http://www.bankofzachary.com,47,209494,8397,4043,94041,1450,100594,1211,0,2437,60,0,2515,209494,189492,177459,119470,177459,75.23970481,0,0,11100,0,933,20002,20002,0,720,5280,14002,0,298,0,1021,200128,75433,204955,208713.5,93530,208312,0,0,0,0,13666,1407,11100,0,16981,19350,1170,16981,0
13654,13847,903455,1123111,Bank of Zumbrota,Zumbrota,MN,55992,6/30/2015,8/16/2015,NM,70 West Third,"ZUMBROTA AGENCY, INC.",2,0,0,2,1,Goodhue,,,1/1/1925,2/7/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Minneapolis,Minneapolis,Central,West,0,1,www.bankofzumbrota.com,39,151827,2203,87,32171,549,113082,1400,0,742,75,251,2754,151827,134125,122526,100159,122526,85.87780343,0,0,10909,0,690,17702,17702,0,100,9932,7670,0,2709,0,492,145889,29232,152274,152459,129452,151976,0,0,0,0,10971,150,10909,0,16956,17201,1400,16956,1220
16547,13612,329149,1210084,Bank Plus,Estherville,IA,51334,6/30/2015,8/16/2015,NM,1202 Central Avenue,"SWEA CITY BANCORPORATION, INC.",4,0,0,2,1,Emmet,,,3/1/1947,3/1/1947,11/30/2012,Stock,0,1,FDIC,DIF,Kansas City,KANSAS CITY,Des Moines,Chicago,Western,Western,0,1,www.bankplusiowa.com,28,134310,3609,161,16685,0,107188,1092,0,1279,231,2758,2560,134310,121520,97582,77407,97582,81.75147372,5313,0,18000,0,625,12790,12790,0,50,5360,7380,0,2074,0,1477,124034,58453,133483.33,131891.5,115835,128475,224,224,0,0,15833,429,18000,0,18357,10527,1092,18357,0
34147,14169,2434113,2631510,Bank Rhode Island,Providence,RI,2903,6/30/2015,8/16/2015,SM,One Turks Head Place,"BROOKLINE BANCORP, INC.",19,0,0,4,0,Providence,39300,"Providence-Warwick, RI-MA",3/22/1996,3/22/1996,9/28/2012,Stock,0,0,FED,DIF,New York,NEW YORK,South Boston,Boston,Northeastern,Northeast,0,1,www.bankri.com,213,2000958,40207,16922,258488,43783,1453103,18613,1014,14478,1676,102664,85545,2000958,1742819,1490786,1311893,1490786,77.84795695,26090,987,200561,0,24395,258139,258139,0,0,234035,24104,0,24770,2947,3541,1772296,603199,1962912,1983907,1530610,1890868,36301,23935,0,12366,125361,16252,200561,0,267799,164410,18943,267799,67044
4201,0,398350,1062621,Bank SNB,Stillwater,OK,74074,6/30/2015,8/16/2015,SM,608 South Main Street,"SOUTHWEST BANCORP, INC.",24,0,1,4,0,Payne,,,6/16/1894,1/1/1934,7/16/2015,Stock,0,1,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,0,http://www.banksnb.com,361,2023162,155314,132391,372506,0,1423211,26219,0,18251,2393,5137,46350,2023162,1752669,1666991,1142141,1666991,64.50765928,50839,0,25000,0,9839,270493,270493,0,157,185648,84688,0,8887,0,4090,1928108,335318,1982490,2008575,1772442,1958550,20110,20110,0,0,156333,12881,25000,6687,407772,268333,22293,407772,89424
21897,9969,1006559,1097445,Bank Star,Pacific,MO,63069,6/30/2015,8/16/2015,NM,1999 West Osage Street,"BANCSTAR, INC.",1,0,0,4,0,Franklin,41180,"St. Louis, MO-IL",1/15/1975,1/15/1975,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,www.bank-star.com,23,66717,4771,2386,5757,0,53198,673,0,1196,1296,0,499,66717,59823,58312,49549,58312,86.21682781,1000,0,0,0,511,6894,6894,0,556,4272,2066,0,202,0,175,61341,19533,68423.33,67078.5,50477,67499,0,0,0,0,1000,1451,0,0,9670,6898,631,9670,0
10629,10137,435358,1097445,Bank Star of the BootHeel,Steele,MO,63877,6/30/2015,8/16/2015,NM,101 West Main Street,"BANCSTAR, INC.",2,0,0,2,0,Pemiscot,,,1/1/1904,1/1/1934,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,WWW. BANK-STAR.COM,33,97823,6082,1143,12792,0,75902,819,0,1351,0,0,1696,97823,88933,81846,69454,81846,90.04910104,0,0,6500,0,587,8890,8890,0,100,3390,5400,0,61,0,767,89837,22035,94889,95738.5,66704,95810,0,0,0,0,16971,3097,6500,0,10148,8944,819,10148,0
18124,10775,1017256,1097445,Bank Star One,Fulton,MO,65251,6/30/2015,8/16/2015,NM,118 West 5th Street,"BANCSTAR, INC.",4,0,0,4,0,Callaway,27620,"Jefferson City, MO",12/4/1959,12/4/1959,3/31/2006,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Columbia Mo,St. louis,Western,West,0,1,www.bank-star.com,38,85977,6025,1256,5381,1500,68499,1063,0,3237,747,0,588,85977,75899,75371,60168,75371,94.76693285,0,0,0,0,528,10078,10078,0,600,3307,6171,0,621,567,229,76636,36988,85995.67,85733.5,66403,85439,0,0,0,0,411,2656,0,417,10045,10087,833,10045,4841
17883,53463,804758,3354807,BANK VI,Salina,KS,67401,6/30/2015,8/16/2015,SM,1900 South Ohio Street,"SIXTH BANCSHARES, INC.",1,0,0,4,1,Saline,,,1/1/1909,7/2/1958,11/23/2009,Stock,0,0,FED,DIF,Kansas City,KANSAS CITY,Hays,Kansas City,Western,Western,0,1,www.banksix.com,12,72959,6512,5848,2496,3303,54984,1013,0,3928,276,1,1459,72959,65610,47794,40126,47794,92.05781459,0,0,17701,0,115,7349,7349,0,50,11152,-3853,0,65,0,219,66631,30394,70272.67,71124.5,51516,69759,0,0,0,0,3938,838,17701,0,3972,7322,649,3972,566
